Description,Date,Location,Value
New cases of suspects,2014-08-27,Beyla,
New cases of probables,2014-08-27,Beyla,
New cases of confirmed,2014-08-27,Beyla,
Total new cases registered so far,2014-08-27,Beyla,
Total cases of suspects,2014-08-27,Beyla,
Total cases of probables,2014-08-27,Beyla,
Total cases of confirmed,2014-08-27,Beyla,
Cumulative (confirmed + probable + suspects),2014-08-27,Beyla,
Total suspected non-class cases,2014-08-27,Beyla,
New deaths registered,2014-08-27,Beyla,
Total deaths of suspects,2014-08-27,Beyla,
Total deaths of probables,2014-08-27,Beyla,
Total deaths of confirmed,2014-08-27,Beyla,
Total deaths (confirmed + probables + suspects),2014-08-27,Beyla,
Fatality rate for confirmed and probables,2014-08-27,Beyla,
New cases of confirmed among health workers,2014-08-27,Beyla,
Total case of confirmed among health workers,2014-08-27,Beyla,
New deaths registered among health workers,2014-08-27,Beyla,
Total deaths registered among health workers,2014-08-27,Beyla,
New admits to CTE so far,2014-08-27,Beyla,
Total number of hospitalized cases in CTE,2014-08-27,Beyla,
Total number of exits from CTE,2014-08-27,Beyla,
Total number of admissions to CTE,2014-08-27,Beyla,
New contacts registered so far,2014-08-27,Beyla,
Total contacts registered from start date,2014-08-27,Beyla,
Number of contacts to follow today,2014-08-27,Beyla,
Number of contacts followed today,2014-08-27,Beyla,
Number of contacts out of the track 21 days,2014-08-27,Beyla,
Number of contacts lost to follow up,2014-08-27,Beyla,
Number of samples collected today,2014-08-27,Beyla,
Number of samples under test,2014-08-27,Beyla,
Total samples tested,2014-08-27,Beyla,
New cases of suspects,2014-08-27,Boffa,0
New cases of probables,2014-08-27,Boffa,0
New cases of confirmed,2014-08-27,Boffa,0
Total new cases registered so far,2014-08-27,Boffa,0
Total cases of suspects,2014-08-27,Boffa,0
Total cases of probables,2014-08-27,Boffa,
Total cases of confirmed,2014-08-27,Boffa,
Cumulative (confirmed + probable + suspects),2014-08-27,Boffa,
Total suspected non-class cases,2014-08-27,Boffa,
New deaths registered,2014-08-27,Boffa,
Total deaths of suspects,2014-08-27,Boffa,
Total deaths of probables,2014-08-27,Boffa,
Total deaths of confirmed,2014-08-27,Boffa,
Total deaths (confirmed + probables + suspects),2014-08-27,Boffa,
Fatality rate for confirmed and probables,2014-08-27,Boffa,
New cases of confirmed among health workers,2014-08-27,Boffa,
Total case of confirmed among health workers,2014-08-27,Boffa,
New deaths registered among health workers,2014-08-27,Boffa,
Total deaths registered among health workers,2014-08-27,Boffa,
New admits to CTE so far,2014-08-27,Boffa,
Total number of hospitalized cases in CTE,2014-08-27,Boffa,
Total number of exits from CTE,2014-08-27,Boffa,
Total number of admissions to CTE,2014-08-27,Boffa,
New contacts registered so far,2014-08-27,Boffa,
Total contacts registered from start date,2014-08-27,Boffa,
Number of contacts to follow today,2014-08-27,Boffa,
Number of contacts followed today,2014-08-27,Boffa,
Number of contacts out of the track 21 days,2014-08-27,Boffa,
Number of contacts lost to follow up,2014-08-27,Boffa,
Number of samples collected today,2014-08-27,Boffa,
Number of samples under test,2014-08-27,Boffa,
Total samples tested,2014-08-27,Boffa,
New cases of suspects,2014-08-27,Conakry,0
New cases of probables,2014-08-27,Conakry,0
New cases of confirmed,2014-08-27,Conakry,4
Total new cases registered so far,2014-08-27,Conakry,4
Total cases of suspects,2014-08-27,Conakry,8
Total cases of probables,2014-08-27,Conakry,8
Total cases of confirmed,2014-08-27,Conakry,102
Cumulative (confirmed + probable + suspects),2014-08-27,Conakry,118
Total suspected non-class cases,2014-08-27,Conakry,195
New deaths registered,2014-08-27,Conakry,0
Total deaths of suspects,2014-08-27,Conakry,2
Total deaths of probables,2014-08-27,Conakry,8
Total deaths of confirmed,2014-08-27,Conakry,39
Total deaths (confirmed + probables + suspects),2014-08-27,Conakry,49
Fatality rate for confirmed and probables,2014-08-27,Conakry,42%
New cases of confirmed among health workers,2014-08-27,Conakry,0
Total case of confirmed among health workers,2014-08-27,Conakry,22
New deaths registered among health workers,2014-08-27,Conakry,0
Total deaths registered among health workers,2014-08-27,Conakry,11
New admits to CTE so far,2014-08-27,Conakry,5
Total number of hospitalized cases in CTE,2014-08-27,Conakry,26
Total number of exits from CTE,2014-08-27,Conakry,6
Total number of admissions to CTE,2014-08-27,Conakry,307
New contacts registered so far,2014-08-27,Conakry,9
Total contacts registered from start date,2014-08-27,Conakry,1934
Number of contacts to follow today,2014-08-27,Conakry,204
Number of contacts followed today,2014-08-27,Conakry,204
Number of contacts out of the track 21 days,2014-08-27,Conakry,1725
Number of contacts lost to follow up,2014-08-27,Conakry,0
Number of samples collected today,2014-08-27,Conakry,12
Number of samples under test,2014-08-27,Conakry,0
Total samples tested,2014-08-27,Conakry,742
New cases of suspects,2014-08-27,Coyah,
New cases of probables,2014-08-27,Coyah,
New cases of confirmed,2014-08-27,Coyah,
Total new cases registered so far,2014-08-27,Coyah,
Total cases of suspects,2014-08-27,Coyah,
Total cases of probables,2014-08-27,Coyah,
Total cases of confirmed,2014-08-27,Coyah,
Cumulative (confirmed + probable + suspects),2014-08-27,Coyah,
Total suspected non-class cases,2014-08-27,Coyah,
New deaths registered,2014-08-27,Coyah,
Total deaths of suspects,2014-08-27,Coyah,
Total deaths of probables,2014-08-27,Coyah,
Total deaths of confirmed,2014-08-27,Coyah,
Total deaths (confirmed + probables + suspects),2014-08-27,Coyah,
Fatality rate for confirmed and probables,2014-08-27,Coyah,
New cases of confirmed among health workers,2014-08-27,Coyah,
Total case of confirmed among health workers,2014-08-27,Coyah,
New deaths registered among health workers,2014-08-27,Coyah,
Total deaths registered among health workers,2014-08-27,Coyah,
