Variable,Date,Location,Value
Specimens collected,09/23/2014,Bomi County,
Specimens pending for testing,09/23/2014,Bomi County,
Total specimens tested,09/23/2014,Bomi County,
Newly reported deaths,09/23/2014,Bomi County,2.0
Total death/s in confirmed cases,09/23/2014,Bomi County,27.0
Total death/s in probable cases,09/23/2014,Bomi County,32.0
Total death/s in suspected cases,09/23/2014,Bomi County,1.0
"Total death/s in confirmed, probable, suspected cases",09/23/2014,Bomi County,60.0
Case Fatality Rate (CFR) - Confirmed & Probable Cases,09/23/2014,Bomi County,
Newly reported contacts,09/23/2014,Bomi County,0.0
Total contacts listed,09/23/2014,Bomi County,357.0
Currently under follow-up,09/23/2014,Bomi County,277.0
Contacts seen,09/23/2014,Bomi County,274.0
Contacts who completed 21 day follow-up,09/23/2014,Bomi County,0.0
Contacts lost to follow-up,09/23/2014,Bomi County,0.0
New admissions,09/23/2014,Bomi County,0.0
Total no. currently in Treatment Units,09/23/2014,Bomi County,0.0
Total discharges,09/23/2014,Bomi County,0.0
Cumulative admission/isolation,09/23/2014,Bomi County,0.0
Newly Reported Cases in HCW,09/23/2014,Bomi County,0.0
Cumulative cases among HCW,09/23/2014,Bomi County,6.0
Newly Reported deaths in HCW,09/23/2014,Bomi County,0.0
Cumulative deaths among HCW,09/23/2014,Bomi County,5.0
New Case/s (Suspected),09/23/2014,Bomi County,0.0
New Case/s (Probable),09/23/2014,Bomi County,0.0
New case/s (confirmed),09/23/2014,Bomi County,0.0
Total suspected cases,09/23/2014,Bomi County,7.0
Total probable cases,09/23/2014,Bomi County,45.0
Total confirmed cases,09/23/2014,Bomi County,33.0
Total Number of Confirmed Cases of Sierra Leonean Nationality,09/23/2014,Bomi County,0.0
Total Number of Confirmed Cases of Guinean Nationality,09/23/2014,Bomi County,3.0
Specimens collected,09/23/2014,Bong County,
Specimens pending for testing,09/23/2014,Bong County,
Total specimens tested,09/23/2014,Bong County,
Newly reported deaths,09/23/2014,Bong County,8.0
Total death/s in confirmed cases,09/23/2014,Bong County,12.0
Total death/s in probable cases,09/23/2014,Bong County,21.0
Total death/s in suspected cases,09/23/2014,Bong County,60.0
"Total death/s in confirmed, probable, suspected cases",09/23/2014,Bong County,93.0
Case Fatality Rate (CFR) - Confirmed & Probable Cases,09/23/2014,Bong County,
Newly reported contacts,09/23/2014,Bong County,4.0
Total contacts listed,09/23/2014,Bong County,748.0
Currently under follow-up,09/23/2014,Bong County,159.0
Contacts seen,09/23/2014,Bong County,159.0
Contacts who completed 21 day follow-up,09/23/2014,Bong County,65.0
Contacts lost to follow-up,09/23/2014,Bong County,0.0
New admissions,09/23/2014,Bong County,2.0
Total no. currently in Treatment Units,09/23/2014,Bong County,14.0
Total discharges,09/23/2014,Bong County,2.0
Cumulative admission/isolation,09/23/2014,Bong County,18.0
Newly Reported Cases in HCW,09/23/2014,Bong County,0.0
Cumulative cases among HCW,09/23/2014,Bong County,26.0
Newly Reported deaths in HCW,09/23/2014,Bong County,
Cumulative deaths among HCW,09/23/2014,Bong County,7.0
New Case/s (Suspected),09/23/2014,Bong County,10.0
New Case/s (Probable),09/23/2014,Bong County,2.0
New case/s (confirmed),09/23/2014,Bong County,13.0
Total suspected cases,09/23/2014,Bong County,167.0
Total probable cases,09/23/2014,Bong County,67.0
Total confirmed cases,09/23/2014,Bong County,66.0
Total Number of Confirmed Cases of Sierra Leonean Nationality,09/23/2014,Bong County,0.0
Total Number of Confirmed Cases of Guinean Nationality,09/23/2014,Bong County,0.0
Specimens collected,09/23/2014,Gbarpolu County,
Specimens pending for testing,09/23/2014,Gbarpolu County,
Total specimens tested,09/23/2014,Gbarpolu County,
Newly reported deaths,09/23/2014,Gbarpolu County,0.0
Total death/s in confirmed cases,09/23/2014,Gbarpolu County,0.0
Total death/s in probable cases,09/23/2014,Gbarpolu County,0.0
Total death/s in suspected cases,09/23/2014,Gbarpolu County,0.0
"Total death/s in confirmed, probable, suspected cases",09/23/2014,Gbarpolu County,0.0
Case Fatality Rate (CFR) - Confirmed & Probable Cases,09/23/2014,Gbarpolu County,
Newly reported contacts,09/23/2014,Gbarpolu County,0.0
Total contacts listed,09/23/2014,Gbarpolu County,0.0
Currently under follow-up,09/23/2014,Gbarpolu County,0.0
Contacts seen,09/23/2014,Gbarpolu County,0.0
Contacts who completed 21 day follow-up,09/23/2014,Gbarpolu County,0.0
Contacts lost to follow-up,09/23/2014,Gbarpolu County,0.0
New admissions,09/23/2014,Gbarpolu County,0.0
Total no. currently in Treatment Units,09/23/2014,Gbarpolu County,0.0
Total discharges,09/23/2014,Gbarpolu County,0.0
Cumulative admission/isolation,09/23/2014,Gbarpolu County,0.0
Newly Reported Cases in HCW,09/23/2014,Gbarpolu County,0.0
Cumulative cases among HCW,09/23/2014,Gbarpolu County,0.0
Newly Reported deaths in HCW,09/23/2014,Gbarpolu County,0.0
Cumulative deaths among HCW,09/23/2014,Gbarpolu County,0.0
New Case/s (Suspected),09/23/2014,Gbarpolu County,0.0
New Case/s (Probable),09/23/2014,Gbarpolu County,0.0
New case/s (confirmed),09/23/2014,Gbarpolu County,0.0
Total suspected cases,09/23/2014,Gbarpolu County,1.0
Total probable cases,09/23/2014,Gbarpolu County,0.0
Total confirmed cases,09/23/2014,Gbarpolu County,0.0
Total Number of Confirmed Cases of Sierra Leonean Nationality,09/23/2014,Gbarpolu County,0.0
Total Number of Confirmed Cases of Guinean Nationality,09/23/2014,Gbarpolu County,0.0
Specimens collected,09/23/2014,Grand Bassa,
Specimens pending for testing,09/23/2014,Grand Bassa,
Total specimens tested,09/23/2014,Grand Bassa,
Newly reported deaths,09/23/2014,Grand Bassa,0.0
Total death/s in confirmed cases,09/23/2014,Grand Bassa,17.0
