variable,date,Location,Value
population,2014-08-12,34 Military Hospital,
new_noncase,2014-08-12,34 Military Hospital,
new_suspected,2014-08-12,34 Military Hospital,
new_probable,2014-08-12,34 Military Hospital,
new_confirmed,2014-08-12,34 Military Hospital,
cum_noncase,2014-08-12,34 Military Hospital,
cum_suspected,2014-08-12,34 Military Hospital,
cum_probable,2014-08-12,34 Military Hospital,
cum_confirmed,2014-08-12,34 Military Hospital,
death_suspected,2014-08-12,34 Military Hospital,
death_probable,2014-08-12,34 Military Hospital,
death_confirmed,2014-08-12,34 Military Hospital,
cfr,2014-08-12,34 Military Hospital,
etc_new_admission,2014-08-12,34 Military Hospital,
etc_currently_admitted,2014-08-12,34 Military Hospital,
etc_cum_admission,2014-08-12,34 Military Hospital,
etc_new_deaths,2014-08-12,34 Military Hospital,
etc_cum_deaths,2014-08-12,34 Military Hospital,
etc_new_discharges,2014-08-12,34 Military Hospital,
etc_cum_discharges,2014-08-12,34 Military Hospital,
cum_contacts,2014-08-12,34 Military Hospital,
cum_completed_contacts,2014-08-12,34 Military Hospital,
contacts_followed,2014-08-12,34 Military Hospital,
new_contacts,2014-08-12,34 Military Hospital,
contacts_healthy,2014-08-12,34 Military Hospital,
contacts_ill,2014-08-12,34 Military Hospital,
contacts_not_seen,2014-08-12,34 Military Hospital,
new_completed_contacts,2014-08-12,34 Military Hospital,
percent_seen,2014-08-12,34 Military Hospital,
population,2014-08-12,Bo,654142
new_noncase,2014-08-12,Bo,0
new_suspected,2014-08-12,Bo,1
new_probable,2014-08-12,Bo,1
new_confirmed,2014-08-12,Bo,0
cum_noncase,2014-08-12,Bo,54
cum_suspected,2014-08-12,Bo,2
cum_probable,2014-08-12,Bo,1
cum_confirmed,2014-08-12,Bo,22
death_suspected,2014-08-12,Bo,0
death_probable,2014-08-12,Bo,0
death_confirmed,2014-08-12,Bo,2
cfr,2014-08-12,Bo,9.1
etc_new_admission,2014-08-12,Bo,
etc_currently_admitted,2014-08-12,Bo,
etc_cum_admission,2014-08-12,Bo,
etc_new_deaths,2014-08-12,Bo,
etc_cum_deaths,2014-08-12,Bo,
etc_new_discharges,2014-08-12,Bo,
etc_cum_discharges,2014-08-12,Bo,
cum_contacts,2014-08-12,Bo,227
cum_completed_contacts,2014-08-12,Bo,67
contacts_followed,2014-08-12,Bo,160
new_contacts,2014-08-12,Bo,6
contacts_healthy,2014-08-12,Bo,157
contacts_ill,2014-08-12,Bo,0
contacts_not_seen,2014-08-12,Bo,3
new_completed_contacts,2014-08-12,Bo,0
percent_seen,2014-08-12,Bo,98%
population,2014-08-12,Bo EMC,
new_noncase,2014-08-12,Bo EMC,
new_suspected,2014-08-12,Bo EMC,
new_probable,2014-08-12,Bo EMC,
new_confirmed,2014-08-12,Bo EMC,
cum_noncase,2014-08-12,Bo EMC,
cum_suspected,2014-08-12,Bo EMC,
cum_probable,2014-08-12,Bo EMC,
cum_confirmed,2014-08-12,Bo EMC,
death_suspected,2014-08-12,Bo EMC,
death_probable,2014-08-12,Bo EMC,
death_confirmed,2014-08-12,Bo EMC,
cfr,2014-08-12,Bo EMC,
etc_new_admission,2014-08-12,Bo EMC,
etc_currently_admitted,2014-08-12,Bo EMC,
etc_cum_admission,2014-08-12,Bo EMC,
etc_new_deaths,2014-08-12,Bo EMC,
etc_cum_deaths,2014-08-12,Bo EMC,
etc_new_discharges,2014-08-12,Bo EMC,
etc_cum_discharges,2014-08-12,Bo EMC,
cum_contacts,2014-08-12,Bo EMC,
cum_completed_contacts,2014-08-12,Bo EMC,
contacts_followed,2014-08-12,Bo EMC,
new_contacts,2014-08-12,Bo EMC,
contacts_healthy,2014-08-12,Bo EMC,
contacts_ill,2014-08-12,Bo EMC,
contacts_not_seen,2014-08-12,Bo EMC,
new_completed_contacts,2014-08-12,Bo EMC,
percent_seen,2014-08-12,Bo EMC,
population,2014-08-12,Bombali,494139
new_noncase,2014-08-12,Bombali,0
new_suspected,2014-08-12,Bombali,0
new_probable,2014-08-12,Bombali,0
new_confirmed,2014-08-12,Bombali,0
cum_noncase,2014-08-12,Bombali,10
cum_suspected,2014-08-12,Bombali,1
cum_probable,2014-08-12,Bombali,1
cum_confirmed,2014-08-12,Bombali,7
death_suspected,2014-08-12,Bombali,0
death_probable,2014-08-12,Bombali,0
death_confirmed,2014-08-12,Bombali,1
cfr,2014-08-12,Bombali,14.3
etc_new_admission,2014-08-12,Bombali,
etc_currently_admitted,2014-08-12,Bombali,
etc_cum_admission,2014-08-12,Bombali,
etc_new_deaths,2014-08-12,Bombali,
etc_cum_deaths,2014-08-12,Bombali,
etc_new_discharges,2014-08-12,Bombali,
etc_cum_discharges,2014-08-12,Bombali,
cum_contacts,2014-08-12,Bombali,161
cum_completed_contacts,2014-08-12,Bombali,16
contacts_followed,2014-08-12,Bombali,161
new_contacts,2014-08-12,Bombali,5
contacts_healthy,2014-08-12,Bombali,141
contacts_ill,2014-08-12,Bombali,0
contacts_not_seen,2014-08-12,Bombali,20
new_completed_contacts,2014-08-12,Bombali,16
percent_seen,2014-08-12,Bombali,97%
population,2014-08-12,Bonthe,168729
new_noncase,2014-08-12,Bonthe,0
new_suspected,2014-08-12,Bonthe,0
new_probable,2014-08-12,Bonthe,0
new_confirmed,2014-08-12,Bonthe,0
cum_noncase,2014-08-12,Bonthe,0
cum_suspected,2014-08-12,Bonthe,0
cum_probable,2014-08-12,Bonthe,0
cum_confirmed,2014-08-12,Bonthe,1
death_suspected,2014-08-12,Bonthe,0
death_probable,2014-08-12,Bonthe,0
death_confirmed,2014-08-12,Bonthe,0
cfr,2014-08-12,Bonthe,0
etc_new_admission,2014-08-12,Bonthe,
etc_currently_admitted,2014-08-12,Bonthe,
etc_cum_admission,2014-08-12,Bonthe,
etc_new_deaths,2014-08-12,Bonthe,
etc_cum_deaths,2014-08-12,Bonthe,
etc_new_discharges,2014-08-12,Bonthe,
etc_cum_discharges,2014-08-12,Bonthe,
cum_contacts,2014-08-12,Bonthe,26
cum_completed_contacts,2014-08-12,Bonthe,26
contacts_followed,2014-08-12,Bonthe,0
new_contacts,2014-08-12,Bonthe,0
contacts_healthy,2014-08-12,Bonthe,0
contacts_ill,2014-08-12,Bonthe,0
contacts_not_seen,2014-08-12,Bonthe,0
new_completed_contacts,2014-08-12,Bonthe,0
percent_seen,2014-08-12,Bonthe,
population,2014-08-12,Kailahun,465048
new_noncase,2014-08-12,Kailahun,0
new_suspected,2014-08-12,Kailahun,0
new_probable,2014-08-12,Kailahun,0
new_confirmed,2014-08-12,Kailahun,0
cum_noncase,2014-08-12,Kailahun,201
cum_suspected,2014-08-12,Kailahun,0
cum_probable,2014-08-12,Kailahun,32
cum_confirmed,2014-08-12,Kailahun,378
death_suspected,2014-08-12,Kailahun,2
death_probable,2014-08-12,Kailahun,32
death_confirmed,2014-08-12,Kailahun,151
cfr,2014-08-12,Kailahun,39.9
etc_new_admission,2014-08-12,Kailahun,16
etc_currently_admitted,2014-08-12,Kailahun,53
etc_cum_admission,2014-08-12,Kailahun,341
etc_new_deaths,2014-08-12,Kailahun,5
