date,variable,Western area rural,Tonkolili,Police traning School,Kenema,Western area,Bo EMC,Western area urban,34 Military Hospital,Port Loko,Bo,Pujehun,Kambia,Koinadugu,Kailahun,Moyamba,Bombali,Kono,National,Kenema (IFRC),Bonthe,Police training School
2014-08-12,population,263619,434937,,653013,,,1040888,,557978,654142,335574,341690,335471,465048,278119,494139,325003,6348350,,168729,
2014-08-12,new_noncase,0,0,,3,,,0,,1,0,0,0,0,0,0,0,0,4,,0,
2014-08-12,new_suspected,0,0,,9,,,0,,0,1,0,0,0,0,0,0,0,10,,0,
2014-08-12,new_probable,0,0,,0,,,0,,0,1,0,0,0,0,0,0,0,1,,0,
2014-08-12,new_confirmed,0,0,,9,,,0,,2,0,0,0,0,0,0,0,0,11,,0,
2014-08-12,cum_noncase,5,10,,269,,,56,,7,54,2,1,15,201,12,10,15,657,,0,
2014-08-12,cum_suspected,0,0,,10,,,0,,0,2,0,0,0,0,0,1,33,46,,0,
2014-08-12,cum_probable,0,0,,0,,,1,,1,1,0,0,0,32,0,1,1,37,,0,
2014-08-12,cum_confirmed,1,2,,259,,,13,,24,22,3,1,0,378,5,7,1,717,,1,
2014-08-12,death_suspected,0,0,,1,,,1,,1,0,0,0,0,2,0,0,0,5,,0,
2014-08-12,death_probable,0,0,,0,,,1,,1,0,0,0,0,32,0,0,0,34,,0,
2014-08-12,death_confirmed,0,0,,104,,,2,,1,2,0,0,0,151,3,1,0,264,,0,
2014-08-12,cfr,0,0,,40.2,,,15.4,,4.2,9.1,0,0,0,39.9,60,14.3,0,36.8,,0,
2014-08-12,etc_new_admission,,,,7,,,,,,,,,,16,,,,,,,
2014-08-12,etc_currently_admitted,,,,41,,,,,,,,,,53,,,,,,,
2014-08-12,etc_cum_admission,,,,303,,,,,,,,,,341,,,,,,,
2014-08-12,etc_new_deaths,,,,3,,,,,,,,,,5,,,,,,,
2014-08-12,etc_cum_deaths,,,,154,,,,,,,,,,104,,,,,,,
2014-08-12,etc_new_discharges,,,,2,,,,,,,,,,7,,,,,,,
2014-08-12,etc_cum_discharges,,,,59,,,,,,,,,,134,,,,,,,
2014-08-12,cum_contacts,23,16,,"1,356",,,390,,471,227,57,0,0,,73,161,38,2838,,26,
2014-08-12,cum_completed_contacts,0,0,,701,,,82,,7,67,10,0,0,,0,16,38,901,,26,
2014-08-12,contacts_followed,23,11,,497,,,310,,466,160,47,0,0,321,73,161,0,2255,,0,
2014-08-12,new_contacts,0,5,,73,,,25,,308,6,0,0,0,321,0,5,0,743,,0,
2014-08-12,contacts_healthy,23,11,,427,,,103,,443,157,47,0,0,305,73,141,0,1937,,0,
2014-08-12,contacts_ill,0,0,,3,,,0,,0,0,0,0,0,11,0,0,0,14,,0,
2014-08-12,contacts_not_seen,0,0,,64,,,0,,28,3,0,0,0,16,0,20,0,131,,0,
2014-08-12,new_completed_contacts,0,0,,38,,,6,,0,0,1,0,0,12,0,16,0,73,,0,
2014-08-12,percent_seen,100%,100%,,61%,,,101%,,95%,98%,100%,NA,NA,98%,100%,97%,NA,87%,,NA,
2014-08-13,population,"263,619","434,937",,"653,013",,,"1,040,888",,"557,978","654,142","335,574","341,690","335,471","465,048","278,119","494,139","325,003","6,348,350",,"168,729",
2014-08-13,new_noncase,1,0,,2,,,2,,0,3,0,0,0,5,0,0,0,13,,0,
2014-08-13,new_suspected,0,0,,2,,,1,,0,0,0,0,0,0,0,0,0,3,,0,
2014-08-13,new_probable,0,0,,1,,,0,,0,0,0,0,0,0,0,0,0,1,,0,
2014-08-13,new_confirmed,0,0,,1,,,2,,0,1,0,0,0,11,0,0,0,15,,0,
2014-08-13,cum_noncase,6,10,,279,,,58,,7,59,2,1,15,206,12,10,15,680,,0,
2014-08-13,cum_suspected,0,0,,3,,,1,,0,1,0,0,0,0,0,1,33,39,,0,
2014-08-13,cum_probable,0,0,,1,,,1,,1,1,0,0,0,32,0,1,1,38,,0,
2014-08-13,cum_confirmed,1,2,,261,,,15,,24,23,3,1,0,389,5,7,1,733,,1,
2014-08-13,death_suspected,0,0,,1,,,1,,1,0,0,0,0,2,0,0,0,5,,0,
2014-08-13,death_probable,0,0,,0,,,1,,1,0,0,0,0,32,0,0,0,34,,0,
2014-08-13,death_confirmed,0,0,,107,,,2,,1,2,0,0,0,157,3,1,0,273,,0,
2014-08-13,cfr,0,0,,41,,,13.3,,4.2,8.7,0,0,0,40.4,60,14.3,0,37.2,,0,
2014-08-13,etc_new_admission,,,,8,,,,,,,,,,5,,,,,,,
2014-08-13,etc_currently_admitted,,,,42,,,,,,,,,,44,,,,,,,
2014-08-13,etc_cum_admission,,,,268,,,,,,,,,,346,,,,,,,
2014-08-13,etc_new_deaths,,,,3,,,,,,,,,,3,,,,,,,
2014-08-13,etc_cum_deaths,,,,154,,,,,,,,,,107,,,,,,,
2014-08-13,etc_new_discharges,,,,3,,,,,,,,,,6,,,,,,,
2014-08-13,etc_cum_discharges,,,,60,,,,,,,,,,140,,,,,,,
2014-08-13,cum_contacts,26,19,,448,,,334,,471,169,47,0,0,366,73,146,0,2099,,0,
2014-08-13,cum_completed_contacts,,,,,,,,,,,,,,,,,,,,,
2014-08-13,contacts_followed,,,,,,,,,,,,,,,,,,,,,
2014-08-13,new_contacts,3,8,,30,,,35,,0,9,0,0,0,Nr,0,0,0,85,,0,
2014-08-13,contacts_healthy,26,19,,409,,,334,,449,111,47,0,0,354,73,134,0,1956,,0,
2014-08-13,contacts_ill,0,0,,2,,,0,,2,0,0,0,0,10,0,0,0,14,,0,
2014-08-13,contacts_not_seen,0,2,,39,,,0,,20,58,0,0,0,0,0,12,0,131,,0,
2014-08-13,new_completed_contacts,0,0,,27,,,20,,0,0,0,0,0,21,0,0,0,68,,0,
2014-08-13,percent_seen,100%,100%,,NA,,,100%,,96%,66%,100%,NA,NA,99%,100%,92%,NA,94%,,NA,
2014-08-14,population,"263,619","434,937",,"653,013",,,"1,040,888",,"557,978","654,142","335,574","341,690","335,471","465,048","278,119","494,139","325,003","6,348,350",,"168,729",
2014-08-14,new_noncase,1,0,,18,,,5,,1,0,0,0,0,0,0,1,0,26,,0,
2014-08-14,new_suspected,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,0,,0,
2014-08-14,new_probable,0,0,,2,,,0,,0,0,0,0,0,0,0,0,0,2,,0,
2014-08-14,new_confirmed,2,0,,8,,,0,,2,0,0,0,0,0,1,0,0,13,,0,
2014-08-14,cum_noncase,7,10,,299,,,63,,8,59,2,1,15,206,12,11,15,708,,0,
2014-08-14,cum_suspected,0,0,,1,,,1,,0,1,0,0,0,0,0,1,33,37,,0,
2014-08-14,cum_probable,0,0,,2,,,1,,1,1,0,0,0,32,0,1,1,39,,0,
2014-08-14,cum_confirmed,3,2,,270,,,15,,26,23,3,1,0,389,6,7,1,747,,1,
2014-08-14,death_suspected,0,0,,1,,,1,,1,0,0,0,0,2,0,0,0,5,,0,
2014-08-14,death_probable,0,0,,0,,,1,,1,0,0,0,0,32,0,0,0,34,,0,
2014-08-14,death_confirmed,0,0,,111,,,2,,1,2,0,0,0,160,3,1,0,280,,0,
2014-08-14,cfr,0,0,,41.1,,,13.3,,3.8,8.7,0,0,0,41.1,50,14.3,0,37.5,,0,
2014-08-14,etc_new_admission,,,,3,,,,,,,,,,2,,,,,,,
2014-08-14,etc_currently_admitted,,,,39,,,,,,,,,,41,,,,,,,
2014-08-14,etc_cum_admission,,,,271,,,,,,,,,,348,,,,,,,
2014-08-14,etc_new_deaths,,,,3,,,,,,,,,,4,,,,,,,
2014-08-14,etc_cum_deaths,,,,157,,,,,,,,,,111,,,,,,,
2014-08-14,etc_new_discharges,,,,0,,,,,,,,,,1,,,,,,,
2014-08-14,etc_cum_discharges,,,,60,,,,,,,,,,141,,,,,,,
2014-08-14,cum_contacts,36,19,,1439,,,487,,483,258,71,13,0,1063,79,161,38,4173,,26,
2014-08-14,cum_completed_contacts,0,11,,796,,,102,,7,69,11,0,0,776,0,16,38,1852,,26,
2014-08-14,contacts_followed,36,8,,541,,,385,,483,189,46,13,0,337,79,151,0,2268,,0,
2014-08-14,new_contacts,10,0,,53,,,51,,12,22,14,0,0,6,6,5,0,179,,0,
2014-08-14,contacts_healthy,36,8,,490,,,385,,465,162,46,13,0,336,79,142,0,2135,,0,
2014-08-14,contacts_ill,0,0,,0,,,2,,3,2,0,0,0,0,0,0,0,7,,0,
2014-08-14,contacts_not_seen,0,0,,51,,,0,,15,27,14,0,0,1,0,9,0,117,,0,
2014-08-14,new_completed_contacts,0,11,,21,,,0,,0,2,0,0,0,24,0,0,0,58,,0,
2014-08-14,percent_seen,100%,100%,,91%,,,99%,,96%,86%,100%,100%,NA,99%,100%,94%,NA,94%,,NA,
2014-08-15,population,"263,619","434,937",,"653,013",,,"1,040,888",,"557,978","654,142","335,574","341,690","335,471","465,048","278,119","494,139","325,003","6,348,350",,"168,729",
2014-08-15,new_noncase,0,0,,10,,,1,,3,0,0,0,0,0,0,0,1,15,,0,
2014-08-15,new_suspected,0,0,,4,,,0,,0,2,0,0,0,0,0,0,0,6,,0,
2014-08-15,new_probable,0,0,,0,,,0,,0,1,0,0,0,0,0,0,0,1,,0,
2014-08-15,new_confirmed,0,0,,3,,,4,,2,1,0,0,0,0,0,0,0,10,,0,
2014-08-15,cum_noncase,7,10,,311,,,65,,11,59,2,1,15,206,12,11,16,726,,0,
2014-08-15,cum_suspected,0,0,,5,,,0,,0,3,0,0,0,0,0,1,33,42,,0,
2014-08-15,cum_probable,0,0,,0,,,1,,1,1,0,0,0,32,0,1,1,37,,0,
2014-08-15,cum_confirmed,3,2,,273,,,19,,28,24,3,1,0,389,6,7,1,757,,1,
2014-08-15,death_suspected,0,0,,1,,,1,,1,0,0,0,0,2,0,0,0,5,,0,
2014-08-15,death_probable,0,0,,0,,,1,,1,0,0,0,0,32,0,0,0,34,,0,
2014-08-15,death_confirmed,0,0,,116,,,2,,1,2,0,0,0,162,3,1,0,287,,0,
2014-08-15,cfr,0,0,,42.5,,,10.5,,3.6,8.3,0,0,0,41.6,50,14.3,0,37.9,,0,
2014-08-15,etc_new_admission,,,,2,,,,,,,,,,4,,,,,,,
2014-08-15,etc_currently_admitted,,,,47,,,,,,,,,,57,,,,,,,
2014-08-15,etc_cum_admission,,,,273,,,,,,,,,,352,,,,,,,
2014-08-15,etc_new_deaths,,,,2,,,,,,,,,,5,,,,,,,
2014-08-15,etc_cum_deaths,,,,162,,,,,,,,,,116,,,,,,,
2014-08-15,etc_new_discharges,,,,0,,,,,,,,,,7,,,,,,,
2014-08-15,etc_cum_discharges,,,,60,,,,,,,,,,148,,,,,,,
2014-08-15,cum_contacts,36,19,,1446,,,493,,483,258,71,13,0,1126,79,192,38,4280,,26,
2014-08-15,cum_completed_contacts,0,11,,810,,,102,,7,69,11,0,0,818,9,26,38,1927,,26,
2014-08-15,contacts_followed,36,8,,464,,,391,,470,189,46,13,0,359,70,166,0,2212,,0,
2014-08-15,new_contacts,0,0,,53,,,6,,0,0,14,0,0,6,0,0,0,79,,0,
2014-08-15,contacts_healthy,36,8,,419,,,389,,470,178,46,13,0,355,70,153,0,2137,,0,
2014-08-15,contacts_ill,0,0,,0,,,0,,0,2,0,0,0,4,0,1,0,7,,0,
2014-08-15,contacts_not_seen,0,0,,45,,,0,,13,9,14,0,0,2,0,12,0,95,,0,
2014-08-15,new_completed_contacts,0,0,,14,,,0,,0,0,0,0,0,18,9,11,0,52,,0,
2014-08-15,percent_seen,100%,NA,,90%,,,99%,,100%,94%,100%,NA,NA,99%,100%,92%,NA,97%,,NA,
2014-08-16,population,"263,619","434,937",,"653,013",,,"1,040,888",,"557,978","654,142","335,574","341,690","335,471","465,048","278,119","494,139","325,003","6,348,350",,"168,729",
2014-08-16,new_noncase,1,0,,0,,,2,,0,0,0,0,0,6,0,0,0,9,,0,
2014-08-16,new_suspected,0,0,,3,,,0,,0,0,0,0,0,0,0,0,0,3,,0,
2014-08-16,new_probable,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,0,,0,
2014-08-16,new_confirmed,1,0,,4,,,1,,0,0,0,0,0,12,0,0,0,18,,0,
2014-08-16,cum_noncase,8,10,,314,,,67,,11,62,2,1,15,212,12,11,16,741,,0,
2014-08-16,cum_suspected,0,0,,5,,,0,,0,0,0,0,0,0,0,1,33,39,,0,
2014-08-16,cum_probable,0,0,,0,,,1,,1,1,0,0,0,29,0,1,1,34,,0,
2014-08-16,cum_confirmed,4,2,,277,,,20,,28,24,3,1,0,401,6,7,1,775,,1,
2014-08-16,death_suspected,0,0,,1,,,1,,1,0,0,0,0,2,0,0,0,5,,0,
2014-08-16,death_probable,0,0,,0,,,1,,1,0,0,0,0,32,0,0,0,34,,0,
2014-08-16,death_confirmed,0,0,,121,,,2,,1,2,0,0,0,167,3,1,0,297,,0,
2014-08-16,cfr,0,0,,43.7,,,50,,0,20,0,0,0,41.6,0,0,0,38.3,,0,
2014-08-16,etc_new_admission,,,,9,,,,,,,,,,3,,,,,,,
2014-08-16,etc_currently_admitted,,,,40,,,,,,,,,,53,,,,,,,
2014-08-16,etc_cum_admission,,,,282,,,,,,,,,,355,,,,,,,
2014-08-16,etc_new_deaths,,,,5,,,,,,,,,,5,,,,,,,
2014-08-16,etc_cum_deaths,,,,167,,,,,,,,,,121,,,,,,,
2014-08-16,etc_new_discharges,,,,4,,,,,,,,,,3,,,,,,,
2014-08-16,etc_cum_discharges,,,,64,,,,,,,,,,151,,,,,,,
2014-08-16,cum_contacts,36,19,,1461,,,496,,500,266,71,13,0,1145,88,202,38,4361,,26,
2014-08-16,cum_completed_contacts,0,11,,849,,,102,,7,110,11,0,0,832,9,26,38,2021,,26,
2014-08-16,contacts_followed,36,8,,579,,,394,,488,156,46,13,0,362,79,162,0,2323,,0,
2014-08-16,new_contacts,0,0,,15,,,3,,17,8,0,0,0,19,0,10,0,72,,0,
2014-08-16,contacts_healthy,36,8,,530,,,394,,488,151,46,13,0,358,79,162,0,2265,,0,
2014-08-16,contacts_ill,0,0,,1,,,0,,0,1,0,0,0,4,0,0,0,6,,0,
2014-08-16,contacts_not_seen,0,0,,49,,,0,,12,4,0,0,0,0,0,14,0,79,,0,
2014-08-16,new_completed_contacts,0,0,,31,,,0,,0,41,0,0,0,14,0,0,0,86,,0,
2014-08-16,percent_seen,100%,100,,92%,,,100,,100%,97%,100%,100,NA,99%,100%,100,NA,98%,,NA,
2014-08-17,population,"263,619","434,937",,"653,013",,,"1,040,888",,"557,978","654,142","335,574","341,690","335,471","465,048","278,119","494,139","325,003","6,348,350",,"168,729",
2014-08-17,new_noncase,1,0,,6,,,3,,1,0,0,0,2,0,0,0,0,13,,0,
2014-08-17,new_suspected,0,0,,1,,,0,,0,0,0,0,0,0,0,0,0,1,,0,
2014-08-17,new_probable,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,0,,0,
2014-08-17,new_confirmed,0,0,,2,,,0,,0,0,0,0,0,0,0,0,0,2,,0,
2014-08-17,cum_noncase,9,10,,324,,,70,,12,62,2,1,17,212,12,11,16,758,,0,
2014-08-17,cum_suspected,0,0,,1,,,0,,0,0,0,0,0,0,0,1,33,35,,0,
2014-08-17,cum_probable,0,0,,0,,,1,,1,1,0,0,0,32,0,1,1,37,,0,
2014-08-17,cum_confirmed,4,2,,280,,,20,,28,24,3,1,0,401,6,7,1,778,,1,
2014-08-17,death_suspected,0,0,,1,,,1,,1,0,0,0,0,2,0,0,0,5,,0,
2014-08-17,death_probable,0,0,,0,,,1,,1,0,0,0,0,32,0,0,0,34,,0,
2014-08-17,death_confirmed,0,0,,124,,,2,,1,2,0,0,0,172,3,1,0,305,,0,
2014-08-17,cfr,0,0,,44.3,,,10,,3.6,8.3,0,0,0,42.9,50,14.3,0,39.2,,0,
2014-08-17,etc_new_admission,,,,0,,,,,,,,,,2,,,,,,,
2014-08-17,etc_currently_admitted,,,,35,,,,,,,,,,52,,,,,,,
2014-08-17,etc_cum_admission,,,,282,,,,,,,,,,357,,,,,,,
2014-08-17,etc_new_deaths,,,,5,,,,,,,,,,3,,,,,,,
2014-08-17,etc_cum_deaths,,,,172,,,,,,,,,,124,,,,,,,
2014-08-17,etc_new_discharges,,,,1,,,,,,,,,,3,,,,,,,
2014-08-17,etc_cum_discharges,,,,65,,,,,,,,,,154,,,,,,,
2014-08-17,cum_contacts,36,19,,1477,,,496,,516,266,71,12,0,1145,92,236,59,4451,,26,
2014-08-17,cum_completed_contacts,0,11,,914,,,132,,7,110,23,0,0,834,9,31,38,2135,,26,
2014-08-17,contacts_followed,36,8,,619,,,364,,516,156,48,12,0,360,83,205,21,2428,,0,
2014-08-17,new_contacts,0,0,,16,,,0,,16,0,0,0,0,0,4,34,21,91,,0,
2014-08-17,contacts_healthy,36,8,,570,,,364,,501,147,47,0,0,357,83,177,21,2311,,0,
2014-08-17,contacts_ill,0,0,,3,,,0,,0,1,1,0,0,3,0,0,0,8,,0,
2014-08-17,contacts_not_seen,0,0,,46,,,0,,15,8,0,0,0,0,0,28,0,97,,0,
2014-08-17,new_completed_contacts,0,0,,65,,,30,,0,0,12,0,0,2,9,5,0,123,,0,
2014-08-17,percent_seen,100%,100%,,93%,,,100%,,97%,95%,100%,NA,NA,100%,100%,86%,100%,96%,,NA,
2014-08-18,population,"263,619","434,937",,"653,013",,,"1,040,888",,"557,978","654,142","335,574","341,690","335,471","465,048","278,119","494,139","325,003","6,348,350",,"168,729",
2014-08-18,new_noncase,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,0,,0,
2014-08-18,new_suspected,3,0,,14,,,0,,3,1,0,0,0,14,2,3,0,40,,0,
2014-08-18,new_probable,0,0,,7,,,0,,2,0,0,0,0,0,2,4,0,15,,0,
2014-08-18,new_confirmed,0,0,,0,,,0,,0,0,0,0,0,5,0,0,0,5,,0,
2014-08-18,cum_noncase,9,10,,324,,,70,,12,62,2,1,17,212,12,11,16,758,,0,
2014-08-18,cum_suspected,3,0,,15,,,0,,3,1,0,0,0,14,2,1,33,72,,0,
2014-08-18,cum_probable,0,0,,7,,,1,,3,1,0,0,0,32,2,5,1,52,,0,
2014-08-18,cum_confirmed,4,2,,280,,,20,,28,24,3,1,0,406,6,7,1,783,,1,
2014-08-18,death_suspected,0,0,,1,,,1,,1,0,0,0,0,2,0,0,0,5,,0,
2014-08-18,death_probable,0,0,,0,,,1,,1,0,0,0,0,32,0,0,0,34,,0,
2014-08-18,death_confirmed,0,0,,130,,,2,,1,2,0,0,0,173,3,1,0,312,,0,
