Date,Variable,National,Lokolia,Watsikengo,HGR Boende,Boende moke,Lokula,Mondombe
2014-10-05,Number of registered cases,71,,,,,,
2014-10-05,Laboratory confirmed cases,30,,,,,,
2014-10-05,Probable cases,26,,,,,,
2014-10-05,Suspected cases,15,,,,,,
2014-10-05,Number of deaths,43,,,,,,
2014-10-05,Number of ill health personnel,9,,,,,,
2014-10-05,Number of deaths - health personnel,8,,,,,,
2014-10-05,Number of hospitalized people (in isolation),2,1,0,1,0,0,0
2014-10-05,Contacts requiring follow-up,305,,,,,,
2014-10-05,Contacts seen to date,305,,,,,,
2014-10-05,Contacts discarded from follow-up after 21 days,816,,,,,,
2014-10-05,Number of lost contacts,0,,,,,,
2014-10-05,Number of samples analyzed,153,,,,,,
2014-10-05,Case Fatality Rate (CFR) - Confirmed - probable - suspected cases (%),60.5,,,,,,
2014-10-05,Contacts recorded to date,1121,,,,,,
