,Description,Date,Location,Value
96,New cases of suspects,2014-08-27,Beyla,
97,New cases of probables,2014-08-27,Beyla,
98,New cases of confirmed,2014-08-27,Beyla,
99,Total new cases registered so far,2014-08-27,Beyla,
100,Total cases of suspects,2014-08-27,Beyla,
101,Total cases of probables,2014-08-27,Beyla,
102,Total cases of confirmed,2014-08-27,Beyla,
103,Cumulative (confirmed + probable + suspects),2014-08-27,Beyla,
104,Total suspected non-class cases,2014-08-27,Beyla,
105,New deaths registered,2014-08-27,Beyla,
106,Total deaths of suspects,2014-08-27,Beyla,
107,Total deaths of probables,2014-08-27,Beyla,
108,Total deaths of confirmed,2014-08-27,Beyla,
109,Total deaths (confirmed + probables + suspects),2014-08-27,Beyla,
110,Fatality rate for confirmed and probables,2014-08-27,Beyla,
111,New cases of confirmed among health workers,2014-08-27,Beyla,
112,Total case of confirmed among health workers,2014-08-27,Beyla,
113,New deaths registered among health workers,2014-08-27,Beyla,
114,Total deaths registered among health workers,2014-08-27,Beyla,
115,New admits to CTE so far,2014-08-27,Beyla,
116,Total number of hospitalized cases in CTE,2014-08-27,Beyla,
117,Total number of exits from CTE,2014-08-27,Beyla,
118,Total number of admissions to CTE,2014-08-27,Beyla,
119,New contacts registered so far,2014-08-27,Beyla,
120,Total contacts registered from start date,2014-08-27,Beyla,
121,Number of contacts to follow today,2014-08-27,Beyla,
122,Number of contacts followed today,2014-08-27,Beyla,
123,Number of contacts out of the track 21 days,2014-08-27,Beyla,
124,Number of contacts lost to follow up,2014-08-27,Beyla,
125,Number of samples collected today,2014-08-27,Beyla,
126,Number of samples under test,2014-08-27,Beyla,
127,Total samples tested,2014-08-27,Beyla,
288,New cases of suspects,2014-08-27,Boffa,0
289,New cases of probables,2014-08-27,Boffa,0
290,New cases of confirmed,2014-08-27,Boffa,0
291,Total new cases registered so far,2014-08-27,Boffa,0
292,Total cases of suspects,2014-08-27,Boffa,0
293,Total cases of probables,2014-08-27,Boffa,
294,Total cases of confirmed,2014-08-27,Boffa,
295,Cumulative (confirmed + probable + suspects),2014-08-27,Boffa,
296,Total suspected non-class cases,2014-08-27,Boffa,
297,New deaths registered,2014-08-27,Boffa,
298,Total deaths of suspects,2014-08-27,Boffa,
299,Total deaths of probables,2014-08-27,Boffa,
300,Total deaths of confirmed,2014-08-27,Boffa,
301,Total deaths (confirmed + probables + suspects),2014-08-27,Boffa,
302,Fatality rate for confirmed and probables,2014-08-27,Boffa,
303,New cases of confirmed among health workers,2014-08-27,Boffa,
304,Total case of confirmed among health workers,2014-08-27,Boffa,
305,New deaths registered among health workers,2014-08-27,Boffa,
306,Total deaths registered among health workers,2014-08-27,Boffa,
307,New admits to CTE so far,2014-08-27,Boffa,
308,Total number of hospitalized cases in CTE,2014-08-27,Boffa,
309,Total number of exits from CTE,2014-08-27,Boffa,
310,Total number of admissions to CTE,2014-08-27,Boffa,
311,New contacts registered so far,2014-08-27,Boffa,
312,Total contacts registered from start date,2014-08-27,Boffa,
313,Number of contacts to follow today,2014-08-27,Boffa,
314,Number of contacts followed today,2014-08-27,Boffa,
315,Number of contacts out of the track 21 days,2014-08-27,Boffa,
316,Number of contacts lost to follow up,2014-08-27,Boffa,
317,Number of samples collected today,2014-08-27,Boffa,
318,Number of samples under test,2014-08-27,Boffa,
319,Total samples tested,2014-08-27,Boffa,
480,New cases of suspects,2014-08-27,Conakry,0
481,New cases of probables,2014-08-27,Conakry,0
482,New cases of confirmed,2014-08-27,Conakry,4
483,Total new cases registered so far,2014-08-27,Conakry,4
484,Total cases of suspects,2014-08-27,Conakry,8
485,Total cases of probables,2014-08-27,Conakry,8
486,Total cases of confirmed,2014-08-27,Conakry,102
487,Cumulative (confirmed + probable + suspects),2014-08-27,Conakry,118
488,Total suspected non-class cases,2014-08-27,Conakry,195
489,New deaths registered,2014-08-27,Conakry,0
490,Total deaths of suspects,2014-08-27,Conakry,2
491,Total deaths of probables,2014-08-27,Conakry,8
492,Total deaths of confirmed,2014-08-27,Conakry,39
493,Total deaths (confirmed + probables + suspects),2014-08-27,Conakry,49
494,Fatality rate for confirmed and probables,2014-08-27,Conakry,42%
495,New cases of confirmed among health workers,2014-08-27,Conakry,0
496,Total case of confirmed among health workers,2014-08-27,Conakry,22
497,New deaths registered among health workers,2014-08-27,Conakry,0
498,Total deaths registered among health workers,2014-08-27,Conakry,11
499,New admits to CTE so far,2014-08-27,Conakry,5
500,Total number of hospitalized cases in CTE,2014-08-27,Conakry,26
501,Total number of exits from CTE,2014-08-27,Conakry,6
502,Total number of admissions to CTE,2014-08-27,Conakry,307
503,New contacts registered so far,2014-08-27,Conakry,9
504,Total contacts registered from start date,2014-08-27,Conakry,1934
505,Number of contacts to follow today,2014-08-27,Conakry,204
506,Number of contacts followed today,2014-08-27,Conakry,204
507,Number of contacts out of the track 21 days,2014-08-27,Conakry,1725
508,Number of contacts lost to follow up,2014-08-27,Conakry,0
509,Number of samples collected today,2014-08-27,Conakry,12
510,Number of samples under test,2014-08-27,Conakry,0
511,Total samples tested,2014-08-27,Conakry,742
672,New cases of suspects,2014-08-27,Coyah,
673,New cases of probables,2014-08-27,Coyah,
674,New cases of confirmed,2014-08-27,Coyah,
675,Total new cases registered so far,2014-08-27,Coyah,
676,Total cases of suspects,2014-08-27,Coyah,
