,Variable,Date,Location,Value
1395,Specimens collected,09/23/2014,Bomi County,
1396,Specimens pending for testing,09/23/2014,Bomi County,
1397,Total specimens tested,09/23/2014,Bomi County,
1398,Newly reported deaths,09/23/2014,Bomi County,2.0
1399,Total death/s in confirmed cases,09/23/2014,Bomi County,27.0
1400,Total death/s in probable cases,09/23/2014,Bomi County,32.0
1401,Total death/s in suspected cases,09/23/2014,Bomi County,1.0
1402,"Total death/s in confirmed, probable, suspected cases",09/23/2014,Bomi County,60.0
1403,Case Fatality Rate (CFR) - Confirmed & Probable Cases,09/23/2014,Bomi County,
1404,Newly reported contacts,09/23/2014,Bomi County,0.0
1405,Total contacts listed,09/23/2014,Bomi County,357.0
1406,Currently under follow-up,09/23/2014,Bomi County,277.0
1407,Contacts seen,09/23/2014,Bomi County,274.0
1408,Contacts who completed 21 day follow-up,09/23/2014,Bomi County,0.0
1409,Contacts lost to follow-up,09/23/2014,Bomi County,0.0
1410,New admissions,09/23/2014,Bomi County,0.0
1411,Total no. currently in Treatment Units,09/23/2014,Bomi County,0.0
1412,Total discharges,09/23/2014,Bomi County,0.0
1413,Cumulative admission/isolation,09/23/2014,Bomi County,0.0
1414,Newly Reported Cases in HCW,09/23/2014,Bomi County,0.0
1415,Cumulative cases among HCW,09/23/2014,Bomi County,6.0
1416,Newly Reported deaths in HCW,09/23/2014,Bomi County,0.0
1417,Cumulative deaths among HCW,09/23/2014,Bomi County,5.0
1418,New Case/s (Suspected),09/23/2014,Bomi County,0.0
1419,New Case/s (Probable),09/23/2014,Bomi County,0.0
1420,New case/s (confirmed),09/23/2014,Bomi County,0.0
1421,Total suspected cases,09/23/2014,Bomi County,7.0
1422,Total probable cases,09/23/2014,Bomi County,45.0
1423,Total confirmed cases,09/23/2014,Bomi County,33.0
1424,Total Number of Confirmed Cases of Sierra Leonean Nationality,09/23/2014,Bomi County,0.0
1425,Total Number of Confirmed Cases of Guinean Nationality,09/23/2014,Bomi County,3.0
3228,Specimens collected,09/23/2014,Bong County,
3229,Specimens pending for testing,09/23/2014,Bong County,
3230,Total specimens tested,09/23/2014,Bong County,
3231,Newly reported deaths,09/23/2014,Bong County,8.0
3232,Total death/s in confirmed cases,09/23/2014,Bong County,12.0
3233,Total death/s in probable cases,09/23/2014,Bong County,21.0
3234,Total death/s in suspected cases,09/23/2014,Bong County,60.0
3235,"Total death/s in confirmed, probable, suspected cases",09/23/2014,Bong County,93.0
3236,Case Fatality Rate (CFR) - Confirmed & Probable Cases,09/23/2014,Bong County,
3237,Newly reported contacts,09/23/2014,Bong County,4.0
3238,Total contacts listed,09/23/2014,Bong County,748.0
3239,Currently under follow-up,09/23/2014,Bong County,159.0
3240,Contacts seen,09/23/2014,Bong County,159.0
3241,Contacts who completed 21 day follow-up,09/23/2014,Bong County,65.0
3242,Contacts lost to follow-up,09/23/2014,Bong County,0.0
3243,New admissions,09/23/2014,Bong County,2.0
3244,Total no. currently in Treatment Units,09/23/2014,Bong County,14.0
3245,Total discharges,09/23/2014,Bong County,2.0
3246,Cumulative admission/isolation,09/23/2014,Bong County,18.0
3247,Newly Reported Cases in HCW,09/23/2014,Bong County,0.0
3248,Cumulative cases among HCW,09/23/2014,Bong County,26.0
3249,Newly Reported deaths in HCW,09/23/2014,Bong County,
3250,Cumulative deaths among HCW,09/23/2014,Bong County,7.0
3251,New Case/s (Suspected),09/23/2014,Bong County,10.0
3252,New Case/s (Probable),09/23/2014,Bong County,2.0
3253,New case/s (confirmed),09/23/2014,Bong County,13.0
3254,Total suspected cases,09/23/2014,Bong County,167.0
3255,Total probable cases,09/23/2014,Bong County,67.0
3256,Total confirmed cases,09/23/2014,Bong County,66.0
3257,Total Number of Confirmed Cases of Sierra Leonean Nationality,09/23/2014,Bong County,0.0
3258,Total Number of Confirmed Cases of Guinean Nationality,09/23/2014,Bong County,0.0
5061,Specimens collected,09/23/2014,Gbarpolu County,
5062,Specimens pending for testing,09/23/2014,Gbarpolu County,
