Variable,Date,Bomi County,,Grand Gedeh,Grand Bassa,Bong County,Grand Kru,Montserrado County,Gbarpolu County,National,Nimba County,Sinoe County,River Gee County,Lofa County,Maryland County,Grand Cape Mount,RiverCess County,Margibi County
Specimens collected,6/16/2014,,,,,,,0,,1,,,,1,,,,
Specimens pending for testing,6/16/2014,,,,,,,0,,0,,,,0,,,,
Total specimens tested,6/16/2014,,,,,,,7,,28,,,,21,,,,
Newly reported deaths,6/16/2014,,,,,,,0,,2,,,,1,,,,
Total death/s in confirmed cases,6/16/2014,,,,,,,0,,8,,,,4,,,,
Total death/s in probable cases,6/16/2014,,,,,,,0,,6,,,,2,,,,
Total death/s in suspected cases,6/16/2014,,,,,,,0,,2,,,,2,,,,
"Total death/s in confirmed, probable, suspected cases",6/16/2014,,,,,,,0,,16,,,,8,,,,
Case Fatality Rate (CFR) - Confirmed & Probable Cases,6/16/2014,,,,,,,,,,,,,,,,,
Newly reported contacts,6/16/2014,,,,,,,0,,41,,,,41,,,,
Total contacts listed,6/16/2014,,,,,,,13,,108,,,,95,,,,
Currently under follow-up,6/16/2014,,,,,,,0,,95,,,,95,,,,
Contacts seen,6/16/2014,,,,,,,0,,95,,,,95,,,,
Contacts who completed 21 day follow-up,6/16/2014,,,,,,,0,,11,,,,11,,,,
Contacts lost to follow-up,6/16/2014,,,,,,,0,,,,,,0,,,,
New admissions,6/16/2014,,,,,,,0,,1,,,,1,,,,
Total no. currently in Treatment Units,6/16/2014,,,,,,,0,,5,,,,5,,,,
Total discharges,6/16/2014,,,,,,,0,,3,,,,3,,,,
Cumulative admission/isolation,6/16/2014,,,,,,,0,,5,,,,5,,,,
Newly Reported Cases in HCW,6/16/2014,,,,,,,,,0,,,,,,,,
Cumulative cases among HCW,6/16/2014,,,,,,,1,,1,,,,0,,,,
Newly Reported deaths in HCW,6/16/2014,,,,,,,0,,0,,,,0,,,,
Cumulative deaths among HCW,6/16/2014,,,,,,,1,,1,,,,0,,,,
New Case/s (Suspected),6/16/2014,,,,,,,0,,2,,,,2,,,,
New Case/s (Probable),6/16/2014,,,,,,,1,,1,,,,0,,,,
