,variable,date,Location,Value
0,population,2014-08-12,34 Military Hospital,
1,new_noncase,2014-08-12,34 Military Hospital,
2,new_suspected,2014-08-12,34 Military Hospital,
3,new_probable,2014-08-12,34 Military Hospital,
4,new_confirmed,2014-08-12,34 Military Hospital,
5,cum_noncase,2014-08-12,34 Military Hospital,
6,cum_suspected,2014-08-12,34 Military Hospital,
7,cum_probable,2014-08-12,34 Military Hospital,
8,cum_confirmed,2014-08-12,34 Military Hospital,
9,death_suspected,2014-08-12,34 Military Hospital,
10,death_probable,2014-08-12,34 Military Hospital,
11,death_confirmed,2014-08-12,34 Military Hospital,
12,cfr,2014-08-12,34 Military Hospital,
13,etc_new_admission,2014-08-12,34 Military Hospital,
14,etc_currently_admitted,2014-08-12,34 Military Hospital,
15,etc_cum_admission,2014-08-12,34 Military Hospital,
16,etc_new_deaths,2014-08-12,34 Military Hospital,
17,etc_cum_deaths,2014-08-12,34 Military Hospital,
18,etc_new_discharges,2014-08-12,34 Military Hospital,
19,etc_cum_discharges,2014-08-12,34 Military Hospital,
20,cum_contacts,2014-08-12,34 Military Hospital,
21,cum_completed_contacts,2014-08-12,34 Military Hospital,
22,contacts_followed,2014-08-12,34 Military Hospital,
23,new_contacts,2014-08-12,34 Military Hospital,
24,contacts_healthy,2014-08-12,34 Military Hospital,
25,contacts_ill,2014-08-12,34 Military Hospital,
26,contacts_not_seen,2014-08-12,34 Military Hospital,
27,new_completed_contacts,2014-08-12,34 Military Hospital,
28,percent_seen,2014-08-12,34 Military Hospital,
1711,population,2014-08-12,Bo,654142
1712,new_noncase,2014-08-12,Bo,0
1713,new_suspected,2014-08-12,Bo,1
1714,new_probable,2014-08-12,Bo,1
1715,new_confirmed,2014-08-12,Bo,0
1716,cum_noncase,2014-08-12,Bo,54
1717,cum_suspected,2014-08-12,Bo,2
1718,cum_probable,2014-08-12,Bo,1
1719,cum_confirmed,2014-08-12,Bo,22
1720,death_suspected,2014-08-12,Bo,0
1721,death_probable,2014-08-12,Bo,0
1722,death_confirmed,2014-08-12,Bo,2
1723,cfr,2014-08-12,Bo,9.1
1724,etc_new_admission,2014-08-12,Bo,
1725,etc_currently_admitted,2014-08-12,Bo,
1726,etc_cum_admission,2014-08-12,Bo,
1727,etc_new_deaths,2014-08-12,Bo,
1728,etc_cum_deaths,2014-08-12,Bo,
1729,etc_new_discharges,2014-08-12,Bo,
1730,etc_cum_discharges,2014-08-12,Bo,
1731,cum_contacts,2014-08-12,Bo,227
1732,cum_completed_contacts,2014-08-12,Bo,67
1733,contacts_followed,2014-08-12,Bo,160
1734,new_contacts,2014-08-12,Bo,6
1735,contacts_healthy,2014-08-12,Bo,157
1736,contacts_ill,2014-08-12,Bo,0
1737,contacts_not_seen,2014-08-12,Bo,3
1738,new_completed_contacts,2014-08-12,Bo,0
1739,percent_seen,2014-08-12,Bo,98%
3422,population,2014-08-12,Bo EMC,
3423,new_noncase,2014-08-12,Bo EMC,
3424,new_suspected,2014-08-12,Bo EMC,
3425,new_probable,2014-08-12,Bo EMC,
3426,new_confirmed,2014-08-12,Bo EMC,
3427,cum_noncase,2014-08-12,Bo EMC,
3428,cum_suspected,2014-08-12,Bo EMC,
3429,cum_probable,2014-08-12,Bo EMC,
3430,cum_confirmed,2014-08-12,Bo EMC,
3431,death_suspected,2014-08-12,Bo EMC,
3432,death_probable,2014-08-12,Bo EMC,
3433,death_confirmed,2014-08-12,Bo EMC,
3434,cfr,2014-08-12,Bo EMC,
3435,etc_new_admission,2014-08-12,Bo EMC,
3436,etc_currently_admitted,2014-08-12,Bo EMC,
3437,etc_cum_admission,2014-08-12,Bo EMC,
3438,etc_new_deaths,2014-08-12,Bo EMC,
3439,etc_cum_deaths,2014-08-12,Bo EMC,
3440,etc_new_discharges,2014-08-12,Bo EMC,
3441,etc_cum_discharges,2014-08-12,Bo EMC,
3442,cum_contacts,2014-08-12,Bo EMC,
3443,cum_completed_contacts,2014-08-12,Bo EMC,
3444,contacts_followed,2014-08-12,Bo EMC,
3445,new_contacts,2014-08-12,Bo EMC,
3446,contacts_healthy,2014-08-12,Bo EMC,
3447,contacts_ill,2014-08-12,Bo EMC,
3448,contacts_not_seen,2014-08-12,Bo EMC,
3449,new_completed_contacts,2014-08-12,Bo EMC,
3450,percent_seen,2014-08-12,Bo EMC,
5133,population,2014-08-12,Bombali,494139
5134,new_noncase,2014-08-12,Bombali,0
5135,new_suspected,2014-08-12,Bombali,0
5136,new_probable,2014-08-12,Bombali,0
5137,new_confirmed,2014-08-12,Bombali,0
5138,cum_noncase,2014-08-12,Bombali,10
5139,cum_suspected,2014-08-12,Bombali,1
5140,cum_probable,2014-08-12,Bombali,1
5141,cum_confirmed,2014-08-12,Bombali,7
5142,death_suspected,2014-08-12,Bombali,0
5143,death_probable,2014-08-12,Bombali,0
5144,death_confirmed,2014-08-12,Bombali,1
5145,cfr,2014-08-12,Bombali,14.3
5146,etc_new_admission,2014-08-12,Bombali,
5147,etc_currently_admitted,2014-08-12,Bombali,
5148,etc_cum_admission,2014-08-12,Bombali,
5149,etc_new_deaths,2014-08-12,Bombali,
5150,etc_cum_deaths,2014-08-12,Bombali,
5151,etc_new_discharges,2014-08-12,Bombali,
5152,etc_cum_discharges,2014-08-12,Bombali,
5153,cum_contacts,2014-08-12,Bombali,161
5154,cum_completed_contacts,2014-08-12,Bombali,16
5155,contacts_followed,2014-08-12,Bombali,161
5156,new_contacts,2014-08-12,Bombali,5
5157,contacts_healthy,2014-08-12,Bombali,141
5158,contacts_ill,2014-08-12,Bombali,0
5159,contacts_not_seen,2014-08-12,Bombali,20
5160,new_completed_contacts,2014-08-12,Bombali,16
5161,percent_seen,2014-08-12,Bombali,97%
6844,population,2014-08-12,Bonthe,168729
6845,new_noncase,2014-08-12,Bonthe,0
6846,new_suspected,2014-08-12,Bonthe,0
6847,new_probable,2014-08-12,Bonthe,0
6848,new_confirmed,2014-08-12,Bonthe,0
6849,cum_noncase,2014-08-12,Bonthe,0
6850,cum_suspected,2014-08-12,Bonthe,0
6851,cum_probable,2014-08-12,Bonthe,0
6852,cum_confirmed,2014-08-12,Bonthe,1
6853,death_suspected,2014-08-12,Bonthe,0
6854,death_probable,2014-08-12,Bonthe,0
6855,death_confirmed,2014-08-12,Bonthe,0
6856,cfr,2014-08-12,Bonthe,0
6857,etc_new_admission,2014-08-12,Bonthe,
6858,etc_currently_admitted,2014-08-12,Bonthe,
6859,etc_cum_admission,2014-08-12,Bonthe,
6860,etc_new_deaths,2014-08-12,Bonthe,
6861,etc_cum_deaths,2014-08-12,Bonthe,
6862,etc_new_discharges,2014-08-12,Bonthe,
6863,etc_cum_discharges,2014-08-12,Bonthe,
6864,cum_contacts,2014-08-12,Bonthe,26
6865,cum_completed_contacts,2014-08-12,Bonthe,26
